Numero esterno;Abbreviazione;Denominazione;Coordinata x;Coordinata y;Coordinate-Z;Pensilina autobus;Fermata di salita;Fermata di discesa;Accessibile ai disabili;Punto di cambio;Cambio direzione obbligatorio;Non controllato;Ambito d'esercizio;Gruppo tipol. veicolo;Comune;Codice del comune;Proprietario;Via;Numero civico;Tipologia fermate;Abbreviazione area di fermata;Denominazione area di fermata;Abbreviazione punto di prevendita;Denominazione punto di prevendita;Testo punti di prevendita;Abbreviazione informazioni aggiuntive;Denominazione informazioni aggiuntive;Abbreviazione area tariffaria;Denominazione area tariffaria;Codice tariffario;Tipo Pensilina;Piazzola;Di Servizio;Tipo Palina;fTariffario;fOrario
1;1;Merano stazione - Meran Bahnhof;1664463,74;5171093,95;;;X;X;;X;X;X;BUS;S;Merano - Meran;39021051;;;;;STAZ;(Merano) Stazione - (Meran) Bahnhof;;;;;;1;Tutto;1;Sitzbank;HINFAHRT;2;0;0;2427
100;100;via Weingartner 1 - Weingartnerstr. 1;1662685,006;5171732,599;;;X;X;;X;;X;BUS;S;Lagundo - Algund;39021038;;;;;WEING1;(Lagundo) via Weingartner 1 - (Algund) Weingartnerstr. 1;;;;;;1;Tutto;1;Schutzdach alt;RUECKFAHRT;1;0;0;2606
1000;1000;Bolzano Autostazione - Bozen AutBhf;1680843,222;5151884,473;;;X;X;;X;;X;BUS;S;Bolzano - Bozen;39021008;;;;;AUTOST;(Bolzano) Autostazione - (Bozen) Autobusbahnhof;;;;;;1;Tutto;1;Steher;RUECKFAHRT;1;0;0;2347
1000001;1000001;via San Francesco - St. Franziskus Str.;1664806,01;5171554,3;;;X;X;;;;X;BUS;S;Merano - Meran;39021051;;;;;;;;;;;;1;Tutto;1;Sitzbank;RUECKFAHRT;1;0;0;2748
1000002;1000002;via Petrarca 2 - Petrarca Str. 2;1664933,35;5170432,56;;;X;X;;;;X;BUS;S;Merano - Meran;39021051;;;;;PETRA2;(Merano) via Petrarca 2 - (Meran) Petrarca Str. 2;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;2491
1000004;1000004;via Pietralba 2 - Weissensteiner Str. 2;1679684,4;5144123,36;;;X;X;;X;;X;BUS;S;Laives - Leifers;39021040;;;;;;;;;;;;1;Tutto;1;;RUECKFAHRT;;;;
100003;100003;via Pietralba 1 - Weissensteiner Str. 1;1679684,4;5144123,36;;;X;X;;;;X;BUS;S;Laives - Leifers;39021040;;;;;;;;;;;;1;Tutto;1;;RUECKFAHRT;;0;0;
100007;100007;via Fago 2 - Fagen Str. 2;1679739,61;5153181,14;;;X;X;;;;X;BUS;S;Bolzano - Bozen;39021008;;;;;10137;(Bolzano) via Fago 2 - (Bozen) Fagen Str. 2;;;;;;;;;;;;;;
100008;100008;via Fago 1 - Fagen Str. 1;1679944,07;5153234,07;;;X;X;;;;X;BUS;S;Bolzano - Bozen;39021008;;;;;FAGO1;(Bolzano) via Fago 1 - (Bozen) Fagen Str. 1;;;;;;;;;;;;;;
100010;100010;Prato Isarco - Blumau;1687795,75;5151998,26;;;X;X;;;;X;BUS;S;Cornedo all`Isarco - Karneid;39021023;SAD;;;;;;;;;;;1;Tutto;1;;;;;;
100011;100011;via Galizia 1 - Galizien Str. 1;1679790,73;5144340,84;;;X;X;;;;X;BUS;S;Laives - Leifers;39021040;;;;;;;;;;;;1;Tutto;1;;;;;;
100012;100012;via dei Vanga - Wangergasse;1680410,21;5152483,9;;;X;X;;;;X;BUS;S;Bolzano - Bozen;39021008;;;;;VANGA;(Bolzano) via dei Vanga - (Bozen) Wangergasse;;;;;;;;;;;;;;
100013;100013;via Talvera - Talfergasse;1680244,83;5152353,59;;;X;X;;;;X;BUS;S;Bolzano - Bozen;39021008;;;;;TALVER;(Bolzano) via Talvera - (Bozen) Talfergasse;;;;;;;;;;;;;;
100014;100014;via Castel Roncolo 2 - Runkelsteinerstr. 2;1680653,16;5152485,11;;;X;X;;;;X;BUS;S;Bolzano - Bozen;39021008;;;;;RONCO2;(Bolzano) via Castel Roncolo 2 - (Bozen) Runkelsteinstr.2;;;;;;;;;;;;;;
100015;100015;via Vintler - Vintler Str.;1680740,69;5152450,34;;;X;X;;;;X;BUS;S;Bolzano - Bozen;39021008;;;;;VINTLE;(Bolzano) via Vintler - (Bozen) Vintler Str.;;;;;;;;;;;;;;
100016;100016;via Castel Roncolo 1 - Runkelsteinerstr. 1;1680576,81;5152916,87;;;X;X;;;;X;BUS;S;Bolzano - Bozen;39021008;;;;;RONCO1;(Bolzano) via Castel Roncolo 1 - (Bozen) Runkelsteinstr.1;;;;;;;;;;;;;;
100017;100017;via Beato Arrigo 1 - Selig Heinrich Str. 1;1680619,13;5153017,25;;;X;X;;;;X;BUS;S;Bolzano - Bozen;39021008;;;;;ARRIG1;(Bolzano) via Beato Arrigo 2 - (Bozen) Selig Heinrich Str. 2;;;;;;;;;;;;;;
100018;100018;via dei Vanga - Wangergasse;1680479,75;5152444,59;;;X;X;;;;X;BUS;S;Bolzano - Bozen;39021008;;;;;VANGA;(Bolzano) via dei Vanga - (Bozen) Wangergasse;;;;;;;;;;;;;;
100019;100019;via Weggenstein 1 - Weggenstein Str. 1 non esiste;1680870,09;5152531,06;;;X;X;;;;X;BUS;S;Bolzano - Bozen;39021008;;;;;WEGGE1;(Bolzano) via Weggenstein 1 - (Bozen) Weggenstein Str. 1;;;;;;;;;;;;;;
10002;10002;via Hofer 2 - Hofer Str. 2;1679427,63;5144338,5;;;X;X;;;;X;BUS;S;Laives - Leifers;39021040;;;;;;;;;;;;1;Tutto;1;steher;HINFAHRT;1;0;0;
100020;100020;via Lancia 1 - Lanciastr. 1;1679453,4;5150779,02;;;X;X;;;;X;BUS;S;Bolzano - Bozen;39021008;;;;;;;;;;;;;;;;;;;;
